Mcode,Dist,Picture,Format,Rtg,Rel Date,Prod Co,Domestic   Gross,International   Gross,Worldwide   Gross,Dom   Locs,Opng Wknd   Gross,Wknd   Days,Wknd   Multi,Wk   Multi,Run-  time,Genre,TM,CS,Pattern,Desc
20041925,PAR,Noah,IMAX,PG13,03/28/14,NR,"$101,200,044","$261,400,000","$362,600,044",3567,"$43,720,472",3,2.30,1.80,2:00,"Act/Adv, Drama, Period",77,C,Wide,
20055528,SCL,"Raid 2, The",,R,03/28/14,,"$2,625,803","$3,383,924","$6,009,727",7,"$166,499",3,,,2:28,"Art/For, Act/Adv, Susp/Th",81,,Exclusive,NYC & LA
20045504,ORF,Sabotage,,R,03/28/14,,"$10,508,518","$11,347,866","$21,856,384",2486,"$5,272,444",3,2.00,1.50,1:16,"Susp/Th, Act/Adv, Drama",23,B,Wide,
20052148,FXS,Dom Hemingway,,R,04/02/14,,"$523,511","$703,376","$1,226,887",4,"$29,276",3,,,1:33,"Dark Com, Drama",60,,Exclusive,
20052869,RAD,Unknown Known: The Life & Times Of Donald Rumsfeld,,PG13,04/02/14,,"$276,497",,"$276,497",5,"$64,315",3,,,1:36,Doc,83,,Limited,NYC & LA
20052870,CBS,Afflicted,,R,04/04/14,,"$127,566","$54,204","$181,770",44,"$69,447",3,,,1:26,"Act/Adv, Art/For, Susp/Th",82,,Limited,
20052748,MAG,Alan Partridge: Alpha Papa,,R,04/04/14,,"$153,426",,"$153,426",3,"$12,664",3,,,1:30,"Comedy, Art/For",87,,Limited,
20056908,IFC,Alien Abduction,,NR,04/04/14,,"$10,514","$64,839","$75,353",13,"$10,514",3,,,1:25,"Susp/Th, Horror, Sci/Fant",27,,Limited,NYC
20040846,DIS,Captain America 2: The Winter Soldier,3D IMAX,PG13,04/04/14,MVL,"$259,766,572","$455,000,000","$714,766,572",3938,"$95,023,721",3,2.70,2.20,2:08,Act/Adv,89,A,Wide,
20061352,WB,Casablanca - Reissue 2014,,PG,04/04/14,,"$187,328",,"$187,328",124,,3,,,1:42,"Rom Dram, War",0,,Limited,Played Classic Series throughout 2014
20035866,LIO,Frankie And Alice,,R,04/04/14,,"$695,876",,"$695,876",171,"$350,647",3,,,1:42,"Drama, Period",21,,Limited,
20044424,WEI,"Infideles, Les",,R,04/04/14,,"$9,552","$23,614,981","$23,624,533",50,"$6,674",3,,,1:49,"Art/For, Comedy",33,,Limited,
20053468,WB,Island Of Lemurs: Madagascar,IMAX,G,04/04/14,,"$11,272,213","$2,794,321","$14,066,534",37,"$188,307",3,,,0:40,Doc,77,,Limited,
20053688,FRE,Jinn,,PG13,04/04/14,,"$202,348",,"$202,348",201,"$149,337",3,,,1:37,Susp/Th,11,,Limited,
20055249,MAG,Nymphomaniac: Volume II,,NR,04/04/14,,"$327,167",,"$327,167",30,"$74,978",3,,,2:10,Drama,60,,Exclusive,
20049724,WEI,On The Other Side Of The Tracks,,R,04/04/14,,"$9,572","$4,906,563","$4,916,135",50,"$5,923",3,,,1:36,Drama,,,Limited,
20053010,A24,Under The Skin - A24,,R,04/04/14,,"$2,614,251","$2,800,000","$5,414,251",4,"$133,155",3,,,1:47,"Sci/Fant, Horror",86,,Exclusive,
20056828,E1,Watermark,,PG,04/04/14,,"$82,837",,"$82,837",2,,3,,,1:30,Doc,79,,Exclusive,
